pmcid,pubtator_found,ground_truth
PMC5508045,"rs8175347, rs9923231, rs887829, rs2108622, rs1057910, rs9934438","rs9923231, rs887829, rs2108622, rs1057910"
PMC4916189,"rs3745274, rs2472677, rs28399454, rs2032582, rs8192726, rs2307424, rs35599367, rs28399499, rs4803419, rs1045642, rs6785049, rs3003596","rs3745274, rs2472677, rs28399499, rs4803419, rs1045642, cyp2b6*1, cyp2b6*9"
PMC12036300,,"cyp2c19*2, cyp2c19*17, cyp2c19*1"
PMC554812,,"hla-a*33:03, rs1594, hla-b*58:01, hla-drb1*03:01, hla-c*03:02"
PMC5561238,,"hla-b*67:01, hla-c*04:03, hla-b*13:02, hla-b*15:01, hla-drb1*10:01, hla-b*51:02, hla-b*51:01, hla-b*55:02, hla-b*15:25, hla-b*38:01, hla-b*39:10, hla-b*57:01, hla-c*04:07, hla-b*54:01, hla-drb1*04:04, hla-b*56:06, hla-b*15:12, hla-b*15:24, hla-c*04:06, hla-b*35:05, hla-c*05:09, hla-b*15:27, hla-b*55:01, hla-c*18:01, hla-b*39:09, hla-drb1*08:01, hla-b*39:01, hla-b*39:06, hla-b*39:05, hla-drb1*01:03, rs3745274, hla-b*78:01, hla-drb1*01:01, hla-b*35:10, hla-c*04:01, hla-b*38:02, hla-drb1*01:02, hla-c*05:01, hla-b*56:01, rs28399499, hla-b*15:35, hla-b*52:01, hla-b*15:32"
PMC10946077,rs4148323,"ugt1a1*28, ugt1a1*1, ugt1a1*6"
PMC6465603,"rs147390019, rs116855232, rs1142345","rs116855232, rs1142345"
PMC12038368,"rs7311158, rs2306283, rs4149117, rs2242480, rs776746, rs1188402319, rs7311358, rs3740066, rs717620, rs4149056, rs2231142, rs1045642","rs2306283, rs4149056"
PMC10880264,,"cyp2d6 poor metabolizer, rs6311, cyp2c19 intermediate metabolizer"
PMC12331468,"rs45445694, rs11280056, rs1801265, rs1695","rs45445694, rs11280056, rs1801265, rs1695"
PMC6435416,,"cyp2d6*1, cyp2d6*10, cyp2d6*5, cyp2d6*1xn, cyp2d6*6, cyp2d6*29, cyp2d6*41, cyp2d6*35, cyp2d6*2xn, cyp2d6*4, cyp2d6*9, cyp2d6*3, cyp2d6*17, cyp2d6*2, cyp2d6*4xn"
PMC12319246,"rs9282564, rs17868320, rs2066844, rs2032582, rs1142345, rs2235033, rs2279343, rs72551330, rs4244285, rs1799853, rs3745275, rs2273697, rs2235013, rs1800896, rs717620, rs1800871, rs3832043, rs1045642, rs3745274, rs6714486, rs2306283, rs1800872, rs776746, rs214778, rs3740066, rs4149056, rs2740574","rs3745274, rs2273697, rs2306283, rs9282564, rs776746, rs4149056, rs2740574, rs4244285"
PMC3548984,,"cyp2d6*10, cyp2d6*4, cyp2d6*3, cyp2d6*1, cyp2d6*41, cyp2d6*6"
PMC10275785,"rs10403848, rs4925648, rs35829419, rs4612666, rs4925659, rs10159239, rs11672725, rs10925026, rs2043211, rs10754558","rs4612666, rs2043211"
PMC11971672,,"cyp2c19*2, cyp2c19*17, cyp2c19*1, cyp2c19*3"
PMC11430164,,"cyp3a4*16, cyp3a4*2, cyp3a4*15, cyp3a4*3, cyp3a4*24, cyp3a4*18, cyp3a4*1, cyp3a4*5, cyp3a4*14, cyp3a4*29, cyp3a4*31, cyp3a4*4, cyp3a4*17, cyp3a4*28, cyp3a4*11, cyp3a4*9, cyp3a4*33, cyp3a4*19"
PMC8790808,"rs9958628, rs1694129","rs9958628, hla-drb1*07:01, hla-dqa1*02:01, hla-dqb1*02:02"
PMC11062152,,"ugt1a1*28, ugt1a1*1, ugt1a1*6"
PMC3839910,rs1061235,"hla-a*31:01, hla-b*15:02"
PMC3113609,,hla-a*31:01
PMC10786722,"rs140039091, rs555178721, rs773159364, rs45589337, rs760853559, rs67376798, rs368617815, rs763174477, rs3918290, rs138616379, rs1801159, rs371792178, rs758927521, rs72549308, rs764173823, rs573299212, rs919596571, rs3918289, rs138391898, rs779728902, rs28399504, rs746368304, rs2297595, rs375436137, rs142619737, rs374825099, rs746991079, rs114096998, rs148372305, rs768519000, rs61622928, rs1801158, rs115232898, rs56038477, rs202212118, rs1801265, rs1355754530, rs147601618, rs749122978, rs141044036, rs1329865308, rs55886062, rs368146607, rs367623519, rs17376848, rs56005131, rs145548112, rs772950053, rs57918000, rs376073289, rs371313778, rs1801160, rs72975710, rs927463053, rs150759598","rs1801160, rs56038477, rs2297595"
PMC384715,rs2227956,hla-b*57:01
PMC3584248,,"cyp2d6*10, cyp2d6*41, cyp2d6*1, cyp2d6*5, cyp2d6*2"
PMC12035587,rs116855232,nudt15*3
PMC10993165,,"hla-b*13:01, hla-b*15:02, hla-b*38:02"
PMC10399933,"rs1799853, rs4149056, rs2231142, rs1057910","rs4149056, rs2231142, cyp2c9*3, cyp2c9*2, cyp2c9*1"
PMC4706412,"rs28371686, rs9923231, rs2108622, rs56165452, rs1800566, rs9332094, rs4918758, rs7900194, rs28371685, rs766161320, rs104894540, rs9934438","rs9923231, rs1800566, cyp4f2*3, cyp4f2*1, cyp2c9*2, cyp2c9*3, cyp2c9*1, cyp2c9*8"
PMC6714829,"rs72559747, rs2306283, rs4149056, rs1345709245","rs2306283, rs4149056"
PMC2859392,"rs3745274, rs28399499, rs2279343",rs3745274
PMC11603346,"rs3745274, rs28399499, rs2279343","cyp2b6*6, cyp2b6*1"
PMC8973308,"rs1800460, rs1142345, rs116855232, rs1800462","rs1800460, rs116855232, rs1800462"
PMC3387531,,"rs3745274, rs2054675, hla-drb1*01:01, hla-b*35:01, rs3786547, hla-c*04:01"
